datetime,Flow_metersCubedPerSecond_1,Flow_metersCubedPerSecond_2
1997-01-01 00:00:00,0.108,0.0001
1997-01-02 00:00:00,0.085000001,0.0001
1997-01-03 00:00:00,0.082999997,0.0001
1997-01-04 00:00:00,0.082999997,0.0001
1997-01-05 00:00:00,0.083999999,0.0001
1997-01-06 00:00:00,0.085000001,0.0001
1997-01-07 00:00:00,0.081,0.0001
1997-01-08 00:00:00,0.075999998,0.0001
1997-01-09 00:00:00,0.075999998,0.0001
1997-01-10 00:00:00,0.075000003,0.0001
1997-01-11 00:00:00,0.075000003,0.0001
1997-01-12 00:00:00,0.072999999,0.0001
1997-01-13 00:00:00,0.133,0.0001
1997-01-14 00:00:00,0.13500001,0.0001
1997-01-15 00:00:00,0.113,0.0001
1997-01-16 00:00:00,0.122,0.0001
1997-01-17 00:00:00,0.119,0.0001
1997-01-18 00:00:00,0.118,0.0001
1997-01-19 00:00:00,0.12,0.0001
1997-01-20 00:00:00,0.122,0.0001
1997-01-21 00:00:00,0.118,0.0001
1997-01-22 00:00:00,0.119,0.0001
1997-01-23 00:00:00,0.12800001,0.0001
1997-01-24 00:00:00,0.121,0.0001
1997-01-25 00:00:00,0.117,0.0001
1997-01-26 00:00:00,0.118,0.0001
1997-01-27 00:00:00,0.117,0.0001
1997-01-28 00:00:00,0.118,0.0001
1997-01-29 00:00:00,0.117,0.0001
1997-01-30 00:00:00,0.123,0.0001
1997-01-31 00:00:00,0.12800001,0.0001
1997-02-01 00:00:00,0.118,0.0001
1997-02-02 00:00:00,0.114,0.0001
1997-02-03 00:00:00,0.116,0.0001
1997-02-04 00:00:00,0.207,0.0001
1997-02-05 00:00:00,0.331,0.0001
1997-02-06 00:00:00,0.34200001,0.0001
1997-02-07 00:00:00,0.375,0.0001
1997-02-08 00:00:00,0.317,0.0001
1997-02-09 00:00:00,0.27200001,0.0001
1997-02-10 00:00:00,0.29100001,0.0001
1997-02-11 00:00:00,0.51200002,0.0001
1997-02-12 00:00:00,0.53200001,0.0001
1997-02-13 00:00:00,0.78200001,0.0001
1997-02-14 00:00:00,0.74299997,0.0001
1997-02-15 00:00:00,0.51800001,0.0001
1997-02-16 00:00:00,0.34400001,0.0001
1997-02-17 00:00:00,0.27500001,0.0001
1997-02-18 00:00:00,0.403,0.0001
1997-02-19 00:00:00,0.73400003,0.0001
