datetime,wq_NO3_gramsPerCubicMeter_1,wq_NH4_gramsPerCubicMeter_1,wq_PO4_gramsPerCubicMeter_1,wq_POP_gramsPerCubicMeter_1,wq_PON_gramsPerCubicMeter_1,wq_NO3_gramsPerCubicMeter_2,wq_NH4_gramsPerCubicMeter_2,wq_PO4_gramsPerCubicMeter_2,wq_POP_gramsPerCubicMeter_2,wq_PON_gramsPerCubicMeter_2
1989-01-10 00:00:00,3.16,0.005,0.025,0.031,0.3675,0,0,0,0,0
1989-01-11 00:00:00,3.162142857,0.005142857,0.024678571,0.030535714,0.36725,0,0,0,0,0
1989-01-12 00:00:00,3.164285714,0.005285714,0.024357143,0.030071429,0.367,0,0,0,0,0
1989-01-13 00:00:00,3.166428571,0.005428571,0.024035714,0.029607143,0.36675,0,0,0,0,0
1989-01-14 00:00:00,3.168571429,0.005571429,0.023714286,0.029142857,0.3665,0,0,0,0,0
1989-01-15 00:00:00,3.170714286,0.005714286,0.023392857,0.028678571,0.36625,0,0,0,0,0
1989-01-16 00:00:00,3.172857143,0.005857143,0.023071429,0.028214286,0.366,0,0,0,0,0
1989-01-17 00:00:00,3.175,0.006,0.02275,0.02775,0.36575,0,0,0,0,0
1989-01-18 00:00:00,3.177142857,0.006142857,0.022428571,0.027285714,0.3655,0,0,0,0,0
1989-01-19 00:00:00,3.179285714,0.006285714,0.022107143,0.026821429,0.36525,0,0,0,0,0
1989-01-20 00:00:00,3.181428571,0.006428571,0.021785714,0.026357143,0.365,0,0,0,0,0
1989-01-21 00:00:00,3.183571429,0.006571429,0.021464286,0.025892857,0.36475,0,0,0,0,0
1989-01-22 00:00:00,3.185714286,0.006714286,0.021142857,0.025428571,0.3645,0,0,0,0,0
1989-01-23 00:00:00,3.187857143,0.006857143,0.020821429,0.024964286,0.36425,0,0,0,0,0
1989-01-24 00:00:00,3.19,0.007,0.0205,0.0245,0.364,0,0,0,0,0
1989-01-25 00:00:00,3.192142857,0.007142857,0.020178571,0.024035714,0.36375,0,0,0,0,0
1989-01-26 00:00:00,3.194285714,0.007285714,0.019857143,0.023571429,0.3635,0,0,0,0,0
1989-01-27 00:00:00,3.196428571,0.007428571,0.019535714,0.023107143,0.36325,0,0,0,0,0
1989-01-28 00:00:00,3.198571429,0.007571429,0.019214286,0.022642857,0.363,0,0,0,0,0
1989-01-29 00:00:00,3.200714286,0.007714286,0.018892857,0.022178571,0.36275,0,0,0,0,0
1989-01-30 00:00:00,3.202857143,0.007857143,0.018571429,0.021714286,0.3625,0,0,0,0,0
1989-01-31 00:00:00,3.205,0.008,0.01825,0.02125,0.36225,0,0,0,0,0
1989-02-01 00:00:00,3.207142857,0.008142857,0.017928571,0.020785714,0.362,0,0,0,0,0
1989-02-02 00:00:00,3.209285714,0.008285714,0.017607143,0.020321429,0.36175,0,0,0,0,0
