datetime,wq_po4_gramsPerMeterCubed_1,wq_pop_gramsPerMeterCubed_1,wq_nh4_gramsPerMeterCubed_1,wq_no3_gramsPerMeterCubed_1,wq_sio2_gramsPerMeterCubed_1,wq_po4_gramsPerMeterCubed_2,wq_pop_gramsPerMeterCubed_2,wq_nh4_gramsPerMeterCubed_2,wq_no3_gramsPerMeterCubed_2,wq_sio2_gramsPerMeterCubed_2
1990-02-18 00:00:00,0.033747616,0.013847632,0.139110761,7.200855428,2.93352378,0,0,0,0,0
1990-02-19 00:00:00,0.034265315,0.013808499,0.132324638,7.082913246,2.862225057,0,0,0,0,0
1990-02-20 00:00:00,0.042214684,0.026100937,0.420502733,6.473439151,4.759931685,0,0,0,0,0
1990-02-21 00:00:00,0.041954214,0.024773189,0.379948257,6.472038926,4.440215145,0,0,0,0,0
1990-02-22 00:00:00,0.04685781,0.030955355,0.494202546,6.289592383,5.028966943,0,0,0,0,0
1990-02-23 00:00:00,0.049223489,0.032622337,0.503262271,6.102748011,4.962451751,0,0,0,0,0
1990-02-24 00:00:00,0.049731936,0.032472675,0.488252026,6.074425686,4.807394213,0,0,0,0,0
1990-02-25 00:00:00,0.04874092,0.030711057,0.454483188,6.044127079,4.61478776,0,0,0,0,0
1990-02-26 00:00:00,0.047004543,0.027877284,0.401880806,5.997345871,4.334431109,0,0,0,0,0
1990-02-27 00:00:00,0.045223115,0.024903144,0.345554487,5.957202962,4.031159711,0,0,0,0,0
1990-02-28 00:00:00,0.043436412,0.02157734,0.275945193,5.936697557,3.622803028,0,0,0,0,0
1990-03-01 00:00:00,0.043004464,0.020644409,0.260673971,5.889367631,3.553807376,0,0,0,0,0
1990-03-02 00:00:00,0.042496461,0.019386328,0.234579785,5.87017655,3.398784716,0,0,0,0,0
1990-03-03 00:00:00,0.041150016,0.015746121,0.140515021,5.955287752,2.744557808,0,0,0,0,0
1990-03-04 00:00:00,0.040915611,0.014627163,0.112318653,5.978925,2.544633344,0,0,0,0,0
1990-03-05 00:00:00,0.04161989,0.015190914,0.124889473,5.911531269,2.617887987,0,0,0,0,0
1990-03-06 00:00:00,0.042358873,0.016725024,0.170699976,5.819582258,2.955978048,0,0,0,0,0
1990-03-07 00:00:00,0.043282773,0.017988583,0.202249317,5.7426245,3.159360888,0,0,0,0,0
1990-03-08 00:00:00,0.04350103,0.017821918,0.197935892,5.740151403,3.118157625,0,0,0,0,0
1990-03-09 00:00:00,0.043049193,0.015292348,0.124560486,5.867840541,2.559021838,0,0,0,0,0
1990-03-10 00:00:00,0.045611686,0.018358674,0.188020314,5.596972794,2.939025565,0,0,0,0,0
1990-03-11 00:00:00,0.046194826,0.018037754,0.174273522,5.529746646,2.823207786,0,0,0,0,0
1990-03-12 00:00:00,0.046626854,0.018297993,0.178741679,5.562577168,2.822833816,0,0,0,0,0
1990-03-13 00:00:00,0.046980989,0.018333833,0.179041677,5.564926321,2.807718182,0,0,0,0,0
1990-03-14 00:00:00,0.04755532,0.018934798,0.194208436,5.536282296,2.896666896,0,0,0,0,0
1990-03-15 00:00:00,0.047614471,0.018464238,0.184194552,5.549820219,2.824028675,0,0,0,0,0
1990-03-16 00:00:00,0.048273866,0.019833188,0.223328757,5.480720392,3.095386337,0,0,0,0,0
1990-03-17 00:00:00,0.047658007,0.01739325,0.161393492,5.599202689,2.660002956,0,0,0,0,0
1990-03-18 00:00:00,0.047790774,0.016967616,0.151520813,5.625052429,2.581925222,0,0,0,0,0
1990-03-19 00:00:00,0.048323393,0.01730155,0.15930574,5.597862855,2.620103203,0,0,0,0,0
1990-03-20 00:00:00,0.053200177,0.024499257,0.311496983,5.070966912,3.55112908,0,0,0,0,0
1990-03-21 00:00:00,0.052491702,0.021310223,0.228387058,5.241417902,2.960799225,0,0,0,0,0
1990-03-22 00:00:00,0.055355066,0.027031297,0.357946562,5.058761278,3.747562228,0,0,0,0,0
1990-03-23 00:00:00,0.05585902,0.02712867,0.358111811,5.037366256,3.728300474,0,0,0,0,0
1990-03-24 00:00:00,0.055734168,0.026244769,0.340671356,5.038808918,3.621399378,0,0,0,0,0
1990-03-25 00:00:00,0.053782611,0.020698219,0.213534833,5.246960191,2.80840226,0,0,0,0,0
1990-03-26 00:00:00,0.054954031,0.021368848,0.223337798,5.132775144,2.850131873,0,0,0,0,0
1990-03-27 00:00:00,0.059574612,0.026532358,0.309712189,4.758166582,3.291140448,0,0,0,0,0
1990-03-28 00:00:00,0.062189707,0.03056086,0.386259593,4.65940846,3.688564121,0,0,0,0,0
1990-03-29 00:00:00,0.061377221,0.027515863,0.318865101,4.73385991,3.268542282,0,0,0,0,0
1990-03-30 00:00:00,0.063559246,0.031451036,0.403269559,4.571218005,3.764201156,0,0,0,0,0
1990-03-31 00:00:00,0.062584062,0.029042948,0.360355022,4.589327305,3.539403086,0,0,0,0,0
1990-04-01 00:00:00,0.060353724,0.022946728,0.231887156,4.768827105,2.771435953,0,0,0,0,0
1990-04-02 00:00:00,0.061103318,0.024969154,0.285657451,4.661811246,3.130355108,0,0,0,0,0
1990-04-03 00:00:00,0.060962429,0.02420615,0.273821235,4.672090459,3.069458551,0,0,0,0,0
1990-04-04 00:00:00,0.060712704,0.022561477,0.237957831,4.741606587,2.837200302,0,0,0,0,0
1990-04-05 00:00:00,0.060753566,0.020463929,0.184139583,4.861355513,2.451946196,0,0,0,0,0
1990-04-06 00:00:00,0.061651658,0.021064375,0.195360302,4.806236778,2.50494741,0,0,0,0,0
1990-04-07 00:00:00,0.063236868,0.023365321,0.242636288,4.684849141,2.771850772,0,0,0,0,0
1990-04-08 00:00:00,0.065967665,0.02699575,0.308568784,4.490032212,3.119339685,0,0,0,0,0
1990-04-09 00:00:00,0.067796297,0.028101491,0.315622379,4.465085544,3.080642694,0,0,0,0,0
1990-04-10 00:00:00,0.070894278,0.03181159,0.372950719,4.328735911,3.334567197,0,0,0,0,0
1990-04-11 00:00:00,0.077091736,0.038452958,0.459755278,4.048819642,3.676870412,0,0,0,0,0
1990-04-12 00:00:00,0.082968937,0.047470083,0.602497214,3.866470964,4.336312982,0,0,0,0,0
1990-04-13 00:00:00,0.080796556,0.043170741,0.535084075,3.929390685,4.011963948,0,0,0,0,0
1990-04-14 00:00:00,0.075393624,0.032576979,0.360071044,4.12463528,3.147304989,0,0,0,0,0
1990-04-15 00:00:00,0.07381923,0.029096865,0.305301819,4.178552983,2.882916895,0,0,0,0,0
1990-04-16 00:00:00,0.073294271,0.027181105,0.273505187,4.206713245,2.718121924,0,0,0,0,0
1990-04-17 00:00:00,0.073715285,0.02651763,0.26045545,4.182911722,2.64201621,0,0,0,0,0
